"","variable","coef","p_value","AICc","deltaAICc","rel_likelihood","akaike_weight"
"1","max_sbt_temp",-0.00317275505353989,0.884982982453418,6216.20033444924,8.98698187682112,0.0111815415246677,0.00197945226191001
"2","min_sbt_temp",-0.00875054537146745,0.764626939744486,6216.13130673496,8.91795416253444,0.0115741966967467,0.00204896344396016
"3","seas_sbt_temp",0.00608785522173343,0.880229566524066,6216.19913755962,8.98578498719507,0.0111882350628515,0.00198063720937624
"4","max_sbt_temp_lag1",0.00295529195871154,0.886715331222466,6216.20152328448,8.98817071206122,0.0111748969943747,0.00197827599024042
"5","max_sbt_temp_lag2",-0.00797220871338921,0.726949916458039,6216.09392782616,8.88057525373824,0.0117925461787744,0.00208761753965288
"6","max_sbt_temp_lag3",0.00907402532146572,0.651387523364775,6216.02358665543,8.81023408300553,0.0122146767070599,0.00216234670174494
"7","max_sbt_temp_lag4",0.000318004621180384,0.988208214076355,6216.22125719406,9.00790462164059,0.0110651769823153,0.00195885241384279
"8","max_sbt_temp_lag5",-0.00243239637590834,0.9117173465468,6216.20912630864,8.9957737362156,0.011132496133245,0.00197076982659699
"9","max_sbt_temp_lag6",-0.0149359799049337,0.564793905808729,6215.84353697237,8.6301843999463,0.0133653171474358,0.00236604292889954
"10","max_sbt_temp_lag7",-0.0119020086417644,0.632305125456798,6215.9691268168,8.75577424437415,0.0125518511512876,0.00222203621010231
"11","max_sbt_temp_lag8",0.0164999033234123,0.418882488500912,6215.58520525396,8.37185268153462,0.0152081115211094,0.00269227017432504
"12","max_sbt_temp_lag9",0.0310751106403893,0.145551753520655,6213.95200656852,6.73865399609713,0.0344127894263387,0.00609204676460061
"13","max_sbt_temp_lag10",0.0242077991279133,0.235931547794351,6214.79943320441,7.58608063199154,0.0225270084070895,0.00398792399483617
"14","min_sbt_temp_lag1",-0.0157137213506677,0.597263618000281,6215.93356294956,8.72021037714148,0.0127770435798941,0.00226190170281517
"15","min_sbt_temp_lag2",-0.0202743126418998,0.503660055785544,6215.75271891794,8.53936634552156,0.0139862136649105,0.00247595934902962
"16","min_sbt_temp_lag3",-0.00343774860953818,0.90349949383815,6216.20684981301,8.99349724058447,0.0111451748870634,0.00197301432820428
