Genus,Species,Phylum,Class,Order,Family,spp,thermy,demers_pelag,demers_pelag_fb,mobility
Aulacomya,atra<ca>,Mollusca,Bivalvia,Mytiloida,Mytilidae,Aulacomya atra,ectotherm,demersal,benthic,sessile
Choromytilus,chorus,Mollusca,Bivalvia,Mytiloida,Mytilidae,Choromytilus chorus,ectotherm,demersal,demersal,sessile
Bullia,rhodostoma,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Bullia rhodostoma,ectotherm,demersal,benthic,crawl
Trematomus,bernacchii,Chordata,Actinopteri,Perciformes,Nototheniidae,Trematomus bernacchii,ectotherm,demersal,demersal,swim
Trematomus,borchgrevinki,Chordata,Actinopteri,Perciformes,Nototheniidae,Trematomus borchgrevinki,ectotherm,pelagic,pelagic-oceanic,swim
Trematomus,hansoni,Chordata,Actinopteri,Perciformes,Nototheniidae,Trematomus hansoni,ectotherm,demersal,demersal,swim
Nymphon,sp.1,Arthropoda,Pycnogonida,Pantopoda,Nymphonidae,Nymphon sp.1,ectotherm,demersal,benthic,crawl
Odontaster,validus,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Odontaster validus,ectotherm,demersal,benthic,crawl
Ophioneries,fasciata,Echinodermata,Ophiuroidea,Ophiurida,Ophionereidae,Ophioneries fasciata,ectotherm,demersal,benthic,crawl
Palaemon,longirostris,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon longirostris,ectotherm,demersal,demersal,swim
Adamussium,colbecki,Mollusca,Bivalvia,Pectinoida,Pectinidae,Adamussium colbecki,ectotherm,demersal,benthic,sessile
Argopecten,purpuratus,Mollusca,Bivalvia,Pectinoida,Pectinidae,Argopecten purpuratus,ectotherm,demersal,benthic,sessile
Ensis,macha,Mollusca,Bivalvia,Veneroida,Pharidae,Ensis macha,,demersal,benthic,sessile
Philomedidae,sp.1,Arthropoda,Ostracoda,Myodocopida,Philomedidae,Philomedidae sp.1,ectotherm,demersal,NA,swim
Heterophoxus,videns,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Heterophoxus videns,ectotherm,demersal,benthic,swim
Platichthys,flesus,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys flesus,ectotherm,demersal,demersal,swim
pleuronectus,platessa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,pleuronectus platessa,ectotherm,demersal,demersal,swim
Pseudopleuronectes,americanus,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes americanus,ectotherm,demersal,demersal,swim
Liocarcinus,marmoreus,Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus marmoreus,ectotherm,demersal,demersal,swim
Abudefduf,saxatilis,Chordata,Actinopteri,Perciformes,Pomacentridae,Abudefduf saxatilis,ectotherm,demersal,reef-associated,swim
Chromis,atrilobata,Chordata,Actinopteri,Perciformes,Pomacentridae,Chromis atrilobata,ectotherm,demersal,reef-associated,swim
Dascyllus,aruanus,Chordata,Actinopteri,Perciformes,Pomacentridae,Dascyllus aruanus,ectotherm,demersal,reef-associated,swim
Stegastes,acapulcoensis,Chordata,Actinopteri,Perciformes,Pomacentridae,Stegastes acapulcoensis,ectotherm,demersal,reef-associated,swim
Paramoera,walkeri,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,Paramoera walkeri,ectotherm,demersal,benthic,swim
Gari,solida,Mollusca,Bivalvia,Veneroida,Psammobiidae,Gari solida,ectotherm,demersal,benthic,sessile
Onoba,gelida,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Onoba gelida,ectotherm,demersal,benthic,crawl
Rivulus,marmoratus,Chordata,Actinopteri,Cyprinodontiformes,Rivulidae,Rivulus marmoratus,ectotherm,demersal,benthopelagic,swim
Oncorhynchus,tshawytscha,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus tshawytscha,ectotherm,demersal,benthopelagic,swim
Scorpaena,porcus,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaena porcus,ectotherm,demersal,demersal,swim
Semele,corrugata,Mollusca,Bivalvia,Veneroida,Semelidae,Semele corrugata,ectotherm,demersal,benthic,sessile
Semele,solida,Mollusca,Bivalvia,Veneroida,Semelidae,Semele solida,ectotherm,demersal,demersal,sessile
Tagelus,dombeii,Mollusca,Bivalvia,Veneroida,Solecurtidae,Tagelus dombeii,ectotherm,demersal,demersal,sessile
Pegusa,lascaris,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Pegusa lascaris,ectotherm,demersal,demersal,swim
Diplodus,bellottii,Chordata,Actinopteri,Spariformes,Sparidae,Diplodus bellottii,ectotherm,demersal,benthopelagic,swim
Diplodus,sargus,Chordata,Actinopteri,Spariformes,Sparidae,Diplodus sargus,ectotherm,demersal,demersal,swim
Diplodus,vulgaris,Chordata,Actinopteri,Spariformes,Sparidae,Diplodus vulgaris,ectotherm,demersal,benthopelagic,swim
Cnemidocarpa,bicornuta,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Cnemidocarpa bicornuta,ectotherm,demersal,demersal,sessile
Pseudechinus,huttoni,Echinodermata,Echinoidea,Temnopleuroida,Temnopleuridae,Pseudechinus huttoni,ectotherm,demersal,benthic,crawl
Liothyrella,neozelanica,Brachiopoda,Rhynchonellata,Terebratulida,Terebratulidae,Liothyrella neozelanica,ectotherm,demersal,demersal,sessile
Liothyrella,uva,Brachiopoda,Rhynchonellata,Terebratulida,Terebratulidae,Liothyrella uva,ectotherm,demersal,benthic,sessile
Sphoeroides,maculatus,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides maculatus,ectotherm,demersal,demersal,swim
Margarites,refulgens,Mollusca,Gastropoda,Trochoidea,Trochidae,Margarites refulgens,ectotherm,demersal,demersal,crawl
Cookia,sulcata,Mollusca,Gastropoda,Vetigastropoda,Turbinidae,Cookia sulcata,ectotherm,demersal,demersal,crawl
Gemma,gemma,Mollusca,Bivalvia,Veneroida,Veneridae,Gemma gemma,ectotherm,demersal,benthic,sessile
Protothaca,thaca,Mollusca,Bivalvia,Veneroida,Veneridae,Protothaca thaca,ectotherm,demersal,benthic,sessile
Venus,antiqua,Mollusca,Bivalvia,Veneroida,Veneridae,Venus antiqua,ectotherm,demersal,benthic,sessile
Pachycara,brachycephalum,Chordata,Actinopteri,Perciformes,Zoarcidae,Pachycara brachycephalum,ectotherm,demersal,bathydemersal,swim
Zoarces,viviparus,Chordata,Actinopteri,Perciformes,Zoarcidae,Zoarces viviparus,ectotherm,demersal,demersal,swim
Phronima,sedentaria,Arthropoda,Malacostraca,Amphipoda,Phronimidae ,Phronima sedentaria,ectotherm,pelagic,pelagic-oceanic,swim
