#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2020,1,1,9,0,294,10.7,13.7,99,99,99,999,1006.1,6.9,10.4,-0.4,99,99
2020,1,1,9,10,288,10.8,14.3,99,99,99,999,1006.1,6.9,10.4,-0.5,99,99
2020,1,1,9,20,288,10.5,13.6,99,99,99,999,1006,6.8,10.4,-0.2,99,99
2020,1,1,9,30,297,10.5,13.4,99,99,99,999,1006,6.9,10.4,-0.2,99,99
2020,1,1,9,40,296,11,14,2.31,5.56,5.29,290,1006,6.9,10.4,-0.3,99,99
2020,1,1,9,50,292,10.8,13.8,99,99,99,999,1006.1,6.8,10.4,-0.2,99,99
2020,1,1,10,0,289,11.1,13.7,99,99,99,999,1006.2,6.8,10.4,-0.2,99,99
2020,1,1,10,10,292,10.9,13.5,99,99,99,999,1006.3,6.8,10.4,-0.1,99,99
2020,1,1,10,20,293,10.5,14.6,99,99,99,999,1006.3,6.8,10.4,0.1,99,99
2020,1,1,10,30,296,11.2,13.9,99,99,99,999,1006.4,6.7,10.4,-0.1,99,99
2020,1,1,10,40,296,11.8,14.6,2.38,6.25,5.43,288,1006.4,6.6,10.4,-0.3,99,99
2020,1,1,10,50,299,11.9,14.5,99,99,99,999,1006.3,6.7,10.4,0,99,99
2020,1,1,11,0,295,11.3,13.6,99,99,99,999,1006.3,6.7,10.5,0.1,99,99
2020,1,1,11,10,293,11,14.4,99,99,99,999,1006.3,6.7,10.5,0,99,99
2020,1,1,11,20,295,11.1,12.8,99,99,99,999,1006.4,6.7,10.5,0,99,99
2020,1,1,11,30,297,10.3,13,99,99,99,999,1006.3,6.6,10.5,0.1,99,99
2020,1,1,11,40,297,10,12.4,2.52,6.67,5.6,275,1006.5,6.6,10.5,0.4,99,99
2020,1,1,11,50,296,11.1,14,99,99,99,999,1006.7,6.7,10.6,0.1,99,99
2020,1,1,12,0,293,11.3,14.7,99,99,99,999,1006.9,6.6,10.5,0.2,99,99
2020,1,1,12,10,295,10.9,13.7,99,99,99,999,1006.8,6.6,10.5,0.5,99,99
2020,1,1,12,20,292,10.7,13.5,99,99,99,999,1007.1,6.4,10.5,0.3,99,99
2020,1,1,12,30,291,10.6,13.9,99,99,99,999,1007.3,6.6,10.5,0.9,99,99
2020,1,1,12,40,291,10.8,14.1,2.27,6.25,5.54,287,1007.4,6.4,10.5,0.8,99,99
2020,1,1,12,50,295,11.6,14.8,99,99,99,999,1007.3,6.2,10.5,0.2,99,99
2020,1,1,13,0,294,11.5,15,99,99,99,999,1007.3,6.2,10.4,0.3,99,99
2020,1,1,13,10,293,11.5,14.2,99,99,99,999,1007.5,6.2,10.4,0.4,99,99
2020,1,1,13,20,289,11.7,14.9,99,99,99,999,1007.6,6.1,10.4,0.1,99,99
