variable,coef,p_value,AICc
max_sst_temp_change_abs_lag8_scaled,0.0963356266866945,0.00296368181233265,6418.66866548
max_sst_temp_change_abs_lag9_scaled,-0.0733046748572739,0.123191411258588,6424.74439306185
min_sst_temp_change_abs_lag1_scaled,-0.0358850652459084,0.344991794094004,6426.33599321734
min_sst_temp_change_abs_lag2_scaled,-0.00631366889876807,0.87242788942289,6427.22316385845
min_sst_temp_change_abs_lag3_scaled,-0.050854186789625,0.205016581316647,6425.60265190421
min_sst_temp_change_abs_lag4_scaled,-0.00350554642231869,0.931369968448448,6427.24098380483
min_sst_temp_change_abs_lag5_scaled,-0.0447913075336157,0.268360647066376,6426.00362981833
min_sst_temp_change_abs_lag6_scaled,0.00934756578274823,0.817973780189809,6427.19359779741
min_sst_temp_change_abs_lag7_scaled,-0.090037587076511,0.028641298996115,6422.27278409422
min_sst_temp_change_abs_lag8_scaled,-0.0549322800441708,0.17613811326132,6425.37509219995
min_sst_temp_change_abs_lag9_scaled,0.0111306332792905,0.783323864876631,6427.16990553567
seas_sst_temp_change_abs_lag1_scaled,-0.00813625874268949,0.834892510445832,6427.20213573134
seas_sst_temp_change_abs_lag2_scaled,-0.0687960975400556,0.0616290161761789,6423.60007523646
seas_sst_temp_change_abs_lag3_scaled,0.026157151852317,0.451843619867735,6426.67126947421
seas_sst_temp_change_abs_lag4_scaled,0.0147320836231399,0.691874943046741,6427.08838511814
seas_sst_temp_change_abs_lag5_scaled,0.00312806686500523,0.92960796826293,6427.23950975925
seas_sst_temp_change_abs_lag6_scaled,-0.0117196856419431,0.743601498218895,6427.13899972318
seas_sst_temp_change_abs_lag7_scaled,0.0598319102584686,0.0860470688760186,6424.29444414018
seas_sst_temp_change_abs_lag8_scaled,0.0423040151943645,0.2295651295202,6425.79153012302
seas_sst_temp_change_abs_lag9_scaled,0.0361869809848066,0.354838591143806,6426.38697153061
max_sbt_temp_scaled,-0.140549589589525,0.428328074837782,6426.7624659723
min_sbt_temp_scaled,-0.048442562401106,0.784292987716317,6427.19569360654
seas_sbt_temp_scaled,-0.143784380052741,0.270771331593857,6426.21963869856
max_sbt_temp_lag1_scaled,-0.280048050711696,0.11238889811479,6424.97844058387
max_sbt_temp_lag2_scaled,-0.211484135717537,0.229221864008608,6426.01574301706
max_sbt_temp_lag3_scaled,-0.278172842452773,0.1120672360527,6424.97022342737
max_sbt_temp_lag4_scaled,-0.365953913441222,0.040367578016206,6423.31011809199
max_sbt_temp_lag5_scaled,-0.27286464959294,0.11494362956911,6425.01602459509
max_sbt_temp_lag6_scaled,-0.283551824755944,0.10131650919558,6424.81867397092
max_sbt_temp_lag7_scaled,-0.331050466254623,0.0578090034802119,6423.91668924635
max_sbt_temp_lag8_scaled,-0.4199973028552,0.0203112454879266,6422.13599025375
max_sbt_temp_lag9_scaled,-0.270081975488247,0.116050168994648,6425.03193362434
max_sbt_temp_lag10_scaled,-0.32195013532969,0.061862176694466,6424.02893732777
min_sbt_temp_lag1_scaled,-0.309703032788846,0.0747730289433048,6424.21383770822
min_sbt_temp_lag2_scaled,-0.20805862160153,0.224365081603685,6425.90772582177
min_sbt_temp_lag3_scaled,-0.226207591034126,0.185839592166456,6425.64284593964
min_sbt_temp_lag4_scaled,-0.273847200181988,0.110609310628024,6424.85723633795
min_sbt_temp_lag5_scaled,-0.244309683250117,0.152846490432014,6425.35350001555
min_sbt_temp_lag6_scaled,-0.254576346441018,0.136085417656745,6425.18342828896
min_sbt_temp_lag7_scaled,-0.413485611309851,0.0184994550539107,6421.82755751475
min_sbt_temp_lag8_scaled,-0.29914434974078,0.0715531509468237,6424.14660517277
min_sbt_temp_lag9_scaled,-0.297944792317822,0.0727832468991899,6424.1810541728
min_sbt_temp_lag10_scaled,-0.271173542576794,0.100903318662643,6424.71584304871
seas_sbt_temp_lag1_scaled,-0.0818254785789187,0.534341839513311,6426.96823043384
seas_sbt_temp_lag2_scaled,-0.0868368412841115,0.514939429681862,6426.93517214579
seas_sbt_temp_lag3_scaled,-0.163821081906859,0.201084314031165,6425.81462890276
seas_sbt_temp_lag4_scaled,-0.228317003096509,0.0711563912345016,6424.2485542845
seas_sbt_temp_lag5_scaled,-0.13493991984331,0.275668256873812,6426.23590782937
seas_sbt_temp_lag6_scaled,-0.139681534402034,0.256003260897654,6426.13584524036
seas_sbt_temp_lag7_scaled,-0.0425702863582984,0.714327752207597,6427.16349731088
seas_sbt_temp_lag8_scaled,-0.200216972570955,0.0736167977023575,6424.28131726714
seas_sbt_temp_lag9_scaled,-0.0477361695949426,0.666339888931641,6427.11638084152
seas_sbt_temp_lag10_scaled,-0.127257924499111,0.240921052771348,6426.03492073803
max_sbt_temp_change_scaled,0.0701792886728997,0.0406485769280895,6423.00447659522
min_sbt_temp_change_scaled,0.100631242024414,0.00904681007507715,6420.34873540922
seas_sbt_temp_change_scaled,-0.0164654557150173,0.645295148258206,6427.03149573213
max_sbt_temp_change_lag1_scaled,-0.038185880390932,0.297013030719428,6426.13757550832
max_sbt_temp_change_lag2_scaled,0.0371486275356149,0.289093851980448,6426.10321267974
max_sbt_temp_change_lag3_scaled,0.0430411265422097,0.221960967341007,6425.73528092863
max_sbt_temp_change_lag4_scaled,-0.0448087136237503,0.208226106494676,6425.6358910392
max_sbt_temp_change_lag5_scaled,0.00565548602934495,0.87044685270942,6427.22065837587
max_sbt_temp_change_lag6_scaled,0.024096317445548,0.499617459306237,6426.78626901665
max_sbt_temp_change_lag7_scaled,0.037890208772488,0.277503417568753,6426.04459089338
max_sbt_temp_change_lag8_scaled,-0.0679526191946458,0.0528863663004066,6423.41634184293
max_sbt_temp_change_lag9_scaled,0.0337042617142992,0.440980629030659,6426.64592726787
min_sbt_temp_change_lag1_scaled,-0.0393082129202123,0.312627530876354,6426.20405168329
min_sbt_temp_change_lag2_scaled,0.00711941316659627,0.854645926330176,6427.21397764637
min_sbt_temp_change_lag3_scaled,0.0194128049896506,0.616017460778022,6426.99317660621
min_sbt_temp_change_lag4_scaled,-0.0114270296630211,0.769632147050129,6427.16023616248
min_sbt_temp_change_lag5_scaled,0.00388277355696131,0.920623623016871,6427.23792625072
min_sbt_temp_change_lag6_scaled,0.0612774442268134,0.107829951599592,6424.63007859012
min_sbt_temp_change_lag7_scaled,-0.0348690243047082,0.361755582909763,6426.39593543479
min_sbt_temp_change_lag8_scaled,-0.00049989350353467,0.989418113224929,6427.24769221062
min_sbt_temp_change_lag9_scaled,-0.00989597674115019,0.794019866725609,6427.17776511428
seas_sbt_temp_change_lag1_scaled,0.00107341480375348,0.977405251915003,6427.24708153004
seas_sbt_temp_change_lag2_scaled,0.0239600228080275,0.523472496468952,6426.83123040445
seas_sbt_temp_change_lag3_scaled,0.0194372811192342,0.594439053059315,6426.95943494861
seas_sbt_temp_change_lag4_scaled,-0.0257271760895603,0.484537708019089,6426.75440673321
seas_sbt_temp_change_lag5_scaled,0.0016608956286701,0.964565548214803,6427.24585169159
seas_sbt_temp_change_lag6_scaled,-0.0248750531450611,0.493998929430537,6426.77422697189
seas_sbt_temp_change_lag7_scaled,0.0522759102267991,0.150310398819256,6425.12405439268
seas_sbt_temp_change_lag8_scaled,-0.0484331818840299,0.178056035149345,6425.409305512
seas_sbt_temp_change_lag9_scaled,0.0303490839613834,0.4567903366466,6426.68294409339
max_sbt_temp_change_abs_scaled,0.110342123666863,0.00226165860385833,6417.89607657511
min_sbt_temp_change_abs_scaled,0.0531050369281645,0.287184377971463,6426.09927160551
seas_sbt_temp_change_abs_scaled,0.0122510656289581,0.764148054238682,6427.14764929472
max_sbt_temp_change_abs_lag1_scaled,0.0500686372609362,0.204743857544775,6425.58035729677
max_sbt_temp_change_abs_lag2_scaled,0.00296026455962302,0.939308684148801,6427.2392044975
max_sbt_temp_change_abs_lag3_scaled,0.0569536988538644,0.122706187063797,6424.8115753579
max_sbt_temp_change_abs_lag4_scaled,-0.0428507672385888,0.282428424137111,6426.09974506427
max_sbt_temp_change_abs_lag5_scaled,-0.0582959168863026,0.135900555984677,6425.00634959831
max_sbt_temp_change_abs_lag6_scaled,-0.0266963521978287,0.484732774906355,6426.76375805255
max_sbt_temp_change_abs_lag7_scaled,-0.139148068796786,0.000583413198077267,6414.9462311792
max_sbt_temp_change_abs_lag8_scaled,-0.0177405730513983,0.650745894725055,6427.05387661499
max_sbt_temp_change_abs_lag9_scaled,-0.0603651936355081,0.280588696742538,6426.07270725138
min_sbt_temp_change_abs_lag1_scaled,-0.0731435952114307,0.155774160651826,6425.23195381415
min_sbt_temp_change_abs_lag2_scaled,0.00734417117245373,0.880153680600883,6427.2217126724
min_sbt_temp_change_abs_lag3_scaled,-0.0579174530333593,0.257070151754887,6425.97395041236
min_sbt_temp_change_abs_lag4_scaled,-0.0483406389358769,0.342405710945659,6426.35728534695
min_sbt_temp_change_abs_lag5_scaled,-0.146660859400899,0.0054006444663027,6419.18319079128
