variable,coef,p_value,conditional_R2,marginal_R2,AICc
max_sbt_temp_change_lag8_scaled,-0.0394690813734059,0.274110059732194,0.123857458875774,8.72812125303137e-05,5784.37037166989
max_sbt_temp_change_lag9_scaled,0.0186468554309224,0.682501002614263,0.123820390028083,1.24138247385564e-05,5785.42476498315
min_sbt_temp_change_lag1_scaled,-0.0191850281038099,0.63037677510203,0.122949420141945,2.03597172477327e-05,5786.93777708291
min_sbt_temp_change_lag2_scaled,-0.0699862873541907,0.083879885959624,0.124173004594492,0.000264101144774182,5782.51752979178
min_sbt_temp_change_lag3_scaled,0.0566241949383932,0.15285624116815,0.124025329429369,0.00017255773087062,5783.52288135682
min_sbt_temp_change_lag4_scaled,0.0548186928515982,0.168673132692892,0.124111405655918,0.000162043511251566,5783.6661082403
min_sbt_temp_change_lag5_scaled,-0.00987161379270004,0.805776363682526,0.123822603542481,5.22782257078416e-06,5785.5296124179
min_sbt_temp_change_lag6_scaled,0.0359247087128502,0.361001883776659,0.124066292975646,7.2711264804585e-05,5784.75389289605
min_sbt_temp_change_lag7_scaled,-0.0514210435830098,0.190727329891814,0.123847134086186,0.000146183868668834,5783.83560766337
min_sbt_temp_change_lag8_scaled,0.023033628684046,0.551396489350388,0.123865699215253,2.97865610476619e-05,5785.23496843429
min_sbt_temp_change_lag9_scaled,-0.0541363210236583,0.168149299074109,0.124026048090139,0.000166006493715549,5783.63520716354
seas_sbt_temp_change_lag1_scaled,0.0264514294980496,0.493962949154268,0.11980352998136,3.56996874985272e-05,5785.2686021903
seas_sbt_temp_change_lag2_scaled,0.0409407843445847,0.286218907155792,0.123892956917584,8.83862358861288e-05,5784.4259865613
seas_sbt_temp_change_lag3_scaled,-0.0152007344286857,0.681551300766673,0.123840214492024,1.27748409892815e-05,5785.41901522744
seas_sbt_temp_change_lag4_scaled,0.00170209933936223,0.963877198213615,0.123801988995222,1.57827546581012e-07,5785.58968524174
seas_sbt_temp_change_lag5_scaled,0.0254472715256243,0.50533735344598,0.123876490922954,3.49440120014733e-05,5785.13652807321
seas_sbt_temp_change_lag6_scaled,-0.013613340036762,0.714057982795884,0.123869944367172,1.04408942086336e-05,5785.45620425261
seas_sbt_temp_change_lag7_scaled,-0.0027481935088576,0.94023835287095,0.120839921427198,4.30852897436505e-07,5786.30317021794
seas_sbt_temp_change_lag8_scaled,-0.0436329671486615,0.233520945319519,0.122703627055726,0.000107379774960477,5784.6136031312
seas_sbt_temp_change_lag9_scaled,0.0535452619253085,0.199381928570431,0.123966669209568,0.000128828051962446,5783.90643748304
max_sbt_temp_change_abs_scaled,-0.0167441527114262,0.677099902582145,0.124060473732781,1.56448921482282e-05,5785.43646648286
min_sbt_temp_change_abs_scaled,-0.136502634444549,0.0124443653432267,0.124137492867304,0.00102126027270938,5779.18197492491
seas_sbt_temp_change_abs_scaled,-0.0545180296210496,0.206247832011494,0.124344538359432,0.000166139487132602,5784.00442081872
max_sbt_temp_change_abs_lag1_scaled,-0.00617355035812526,0.882835751208253,0.12387556810522,1.90204621652813e-06,5785.57942791107
max_sbt_temp_change_abs_lag2_scaled,-0.0104618644202828,0.796662941511343,0.123939388397918,6.00005264924471e-06,5785.54090006232
max_sbt_temp_change_abs_lag3_scaled,-0.000719244143635618,0.985582455431351,0.123805907880982,2.88376213863111e-08,5785.59251078065
max_sbt_temp_change_abs_lag4_scaled,-0.00711747425712077,0.861697676618508,0.12387498474173,2.73427136833454e-06,5785.57242919481
max_sbt_temp_change_abs_lag5_scaled,-0.01701963723612,0.670651020265458,0.123998266583178,1.6221262048812e-05,5785.4331458547
max_sbt_temp_change_abs_lag6_scaled,-0.0712185113410924,0.0827166820963204,0.124870055619758,0.000274954580166492,5782.5473483893
max_sbt_temp_change_abs_lag7_scaled,-0.0595378835156854,0.144727651012137,0.124625580935339,0.000196998741721538,5783.4909748538
max_sbt_temp_change_abs_lag8_scaled,-0.0900899644328624,0.0300445604145052,0.125126564350539,0.000446176508249788,5780.84064547624
max_sbt_temp_change_abs_lag9_scaled,0.0263277383394355,0.64838561058314,0.123693347026517,1.77296425573283e-05,5785.36274000699
min_sbt_temp_change_abs_lag1_scaled,0.0680869281481409,0.186877737047203,0.12479592880295,0.000254253109731541,5783.77462351494
min_sbt_temp_change_abs_lag2_scaled,-0.0547111646451681,0.289959087222781,0.122308552177101,0.000164723104433665,5784.78190212329
min_sbt_temp_change_abs_lag3_scaled,0.0357955996527926,0.486589953403988,0.124193841635152,6.88421203225271e-05,5785.06478371408
min_sbt_temp_change_abs_lag4_scaled,-0.0295306797486489,0.572671399988848,0.123675499168554,4.704886929095e-05,5785.29724418997
min_sbt_temp_change_abs_lag5_scaled,-0.0344272945301026,0.514464716619552,0.123696307121591,6.36767382078034e-05,5785.18811043679
min_sbt_temp_change_abs_lag6_scaled,-0.0126453129986208,0.803514104989163,0.123735313010487,9.03887337688961e-06,5785.5421167871
min_sbt_temp_change_abs_lag7_scaled,-0.0334707866054087,0.504631967894722,0.123760364867325,6.26667914889941e-05,5785.17563260903
min_sbt_temp_change_abs_lag8_scaled,0.0142822039062035,0.77440379832563,0.123893209118209,1.1447857435162e-05,5785.49308104793
min_sbt_temp_change_abs_lag9_scaled,-0.00327097428327493,0.948668379582753,0.123798919109517,6.01335837188017e-07,5785.59162025428
seas_sbt_temp_change_abs_lag1_scaled,-0.0290856179202908,0.528991906886816,0.123942257380584,4.24693195701358e-05,5785.22175091325
seas_sbt_temp_change_abs_lag2_scaled,0.0313788015742778,0.474377971718608,0.123836273246853,5.1761836357723e-05,5785.03953574831
seas_sbt_temp_change_abs_lag3_scaled,-0.0208414448891883,0.640173830788488,0.123904366185512,2.39552589621895e-05,5785.39320121329
seas_sbt_temp_change_abs_lag4_scaled,-0.0508062113084082,0.263357653566048,0.124061244320691,0.000138603454248418,5784.36459749352
seas_sbt_temp_change_abs_lag5_scaled,-0.000506633020483256,0.990900243154157,0.123807723456755,1.38628659051944e-08,5785.59242897469
seas_sbt_temp_change_abs_lag6_scaled,0.0355363383397308,0.409925638672018,0.123876550525601,7.08518613960621e-05,5784.86461872894
seas_sbt_temp_change_abs_lag7_scaled,-0.0313630543769959,0.486152680751298,0.123930460427999,5.48526270981443e-05,5785.13630848105
seas_sbt_temp_change_abs_lag8_scaled,-0.0407435468150604,0.351795267299448,0.124027582615938,9.31723844525188e-05,5784.74937268036
seas_sbt_temp_change_abs_lag9_scaled,0.0493120563919036,0.335882756334207,0.123897105384063,9.56775308712756e-05,5784.60822313402
