temp_variable,sign,trait_variable,AICc,converge
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled,3366.806972,TRUE
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3366.82068,TRUE
seas_sbt_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3366.858587,TRUE
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled,3366.861205,TRUE
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3366.904223,TRUE
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled,3366.917967,TRUE
max_sst_temp_change_abs_lag1_scaled,*,tl_ocean_scaled + age.maturity_ocean_scaled,3366.928204,TRUE
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3366.948887,TRUE
min_sst_temp_change_lag8_scaled,+,length.max_ocean_scaled + age.max_ocean_scaled,3366.96892,TRUE
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled + length.max_ocean_scaled,3366.96892,TRUE
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3367.041368,TRUE
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3367.089194,TRUE
max_sst_temp_change_abs_lag1_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3367.103332,TRUE
max_sbt_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3367.105892,TRUE
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3367.241257,TRUE
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled,3367.274261,TRUE
min_sst_temp_lag9_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3367.284636,TRUE
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3367.369819,TRUE
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3367.391526,TRUE
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3367.448069,TRUE
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled,3367.485364,TRUE
max_sst_temp_change_abs_lag1_scaled,*,age.maturity_ocean_scaled + length.max_ocean_scaled,3367.503607,TRUE
seas_sbt_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3367.536837,TRUE
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3367.57823,TRUE
seas_sbt_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3367.653302,TRUE
max_sst_temp_change_abs_lag1_scaled,+,length.max_ocean_scaled,3367.694276,TRUE
max_sst_temp_change_abs_lag1_scaled,*,tl_ocean_scaled,3367.732067,TRUE
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3367.773973,TRUE
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3367.776327,TRUE
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3367.78526,TRUE
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled,3367.833341,TRUE
max_sbt_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3367.834652,TRUE
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled,3367.848882,TRUE
min_sst_temp_change_lag8_scaled,+,age.maturity_ocean_scaled,3367.854304,TRUE
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3367.878633,TRUE
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3367.887864,TRUE
max_sbt_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3367.893486,TRUE
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled,3367.952024,TRUE
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3367.959317,TRUE
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3367.960196,TRUE
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3367.961907,TRUE
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3367.967227,TRUE
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3367.998761,TRUE
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3368.013524,TRUE
max_sst_temp_lag1_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3368.027678,TRUE
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled,3368.040499,TRUE
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3368.056599,TRUE
max_sst_temp_change_abs_lag1_scaled,+,length.max_ocean_scaled + tl_ocean_scaled,3368.115335,TRUE
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3368.119317,TRUE
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3368.143901,TRUE
min_sst_temp_scaled,*,age.max_ocean_scaled,3368.147506,TRUE
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3368.148361,TRUE
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled,3368.170486,TRUE
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3368.181973,TRUE
seas_sbt_temp_change_abs_lag2_scaled,+,age.max_ocean_scaled,3368.263482,TRUE
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3368.282426,TRUE
