temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3696.852544,TRUE,4.856595
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3696.899021,TRUE,4.903072
max_sbt_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3696.90019,TRUE,4.904241
max_sbt_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3696.906436,TRUE,4.910487
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled,3696.934622,TRUE,4.938673
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3696.959072,TRUE,4.963123
max_sst_temp_change_abs_lag1_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3696.971504,TRUE,4.975555
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled,3696.985131,TRUE,4.989182
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3696.998568,TRUE,5.002619
max_sst_temp_change_abs_lag1_scaled,+,age.max_ocean_scaled + length.max_ocean_scaled,3696.999335,TRUE,5.003386
max_sst_temp_change_abs_lag1_scaled,+,length.max_ocean_scaled + age.max_ocean_scaled,3696.999335,TRUE,5.003386
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3697.018752,TRUE,5.022803
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3697.020134,TRUE,5.024185
max_sst_temp_lag1_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3697.044425,TRUE,5.048476
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3697.080414,TRUE,5.084465
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled,3697.080899,TRUE,5.08495
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3697.108164,TRUE,5.112215
seas_sbt_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3697.116749,TRUE,5.1208
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3697.118926,TRUE,5.122977
seas_sbt_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3697.139654,TRUE,5.143705
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3697.192328,TRUE,5.196379
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3697.209491,TRUE,5.213542
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3697.276134,TRUE,5.280185
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3697.319734,TRUE,5.323785
max_sst_temp_lag6_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3697.394271,TRUE,5.398322
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled,3697.413902,TRUE,5.417953
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3697.44173,TRUE,5.445781
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3697.51414,TRUE,5.518191
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3697.590015,TRUE,5.594066
