temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled,3409.098127,TRUE,8.543926621
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3409.099302,TRUE,8.545101738
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3409.116073,TRUE,8.561872131
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled,3409.201679,TRUE,8.647478987
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3409.222022,TRUE,8.66782173
max_sst_temp_lag1_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3409.225145,TRUE,8.670944734
min_sst_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3409.448856,TRUE,8.894655873
max_sst_temp_lag9_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3409.491985,TRUE,8.937784375
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled,3409.547815,TRUE,8.993614223
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3409.58016,TRUE,9.025960041
max_sst_temp_lag10_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3409.584685,TRUE,9.030484443
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3409.595585,TRUE,9.041384715
min_sst_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3409.601471,TRUE,9.047270324
max_sst_temp_lag9_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3409.626167,TRUE,9.071966918
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3409.654494,TRUE,9.10029347
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled,3409.708654,TRUE,9.154453288
max_sst_temp_lag1_scaled,*,age.maturity_ocean_scaled,3409.728643,TRUE,9.174442364
max_sst_temp_lag8_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3409.777635,TRUE,9.223434076
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled,3409.797746,TRUE,9.243545391
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled,3409.797877,TRUE,9.243676062
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled,3409.80225,TRUE,9.248049366
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3409.830835,TRUE,9.276634576
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled,3409.855551,TRUE,9.301350169
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3409.866973,TRUE,9.312772118
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3409.889147,TRUE,9.334946419
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3409.953319,TRUE,9.399118534
max_sst_temp_lag1_scaled,*,age.maturity_ocean_scaled + tl_ocean_scaled,3409.968867,TRUE,9.4146666
min_sst_temp_lag6_scaled,*,age.max_ocean_scaled,3410.038244,TRUE,9.484043321
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3410.046562,TRUE,9.492361986
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled,3410.052473,TRUE,9.498272968
max_sst_temp_lag7_scaled,*,length.max_ocean_scaled,3410.158481,TRUE,9.604280288
