temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3653.280094,TRUE,5.722752373
max_sst_temp_lag8_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3653.299445,TRUE,5.742102703
max_sst_temp_lag9_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3653.326919,TRUE,5.769577094
seas_sbt_temp_scaled,*,age.max_ocean_scaled,3653.352878,TRUE,5.795535815
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled,3653.367346,TRUE,5.810003576
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled,3653.592029,TRUE,6.034687129
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3653.625938,TRUE,6.068596526
max_sst_temp_lag1_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3653.654546,TRUE,6.097203952
max_sbt_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3653.706179,TRUE,6.14883704
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3653.81708,TRUE,6.259737869
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3653.851987,TRUE,6.294645042
max_sst_temp_lag7_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3653.861445,TRUE,6.304103318
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3653.887168,TRUE,6.329826243
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3653.896598,TRUE,6.33925641
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3653.896878,TRUE,6.33953651
seas_sst_temp_lag5_scaled,+,age.max_ocean_scaled,3653.989308,TRUE,6.431966293
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3654.005536,TRUE,6.448194316
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.070499,TRUE,6.51315751
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3654.154725,TRUE,6.597382963
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3654.177195,TRUE,6.619853516
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.205241,TRUE,6.647898677
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled,3654.234752,TRUE,6.677410128
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.260472,TRUE,6.703130037
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.277634,TRUE,6.720292313
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled,3654.282482,TRUE,6.725139935
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3654.319215,TRUE,6.76187334
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3654.330031,TRUE,6.772688608
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.383102,TRUE,6.825760123
max_sbt_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.401752,TRUE,6.844410511
max_sbt_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.41286,TRUE,6.855518296
