variable,coef,p_value,AICc,deltaAICc,rel_likelihood,akaike_weight
max_sbt_temp_change_abs_lag6_scaled,-0.088088761513363,0.032444852116627,5665.25746727311,15.4100256325701,0.000450562923310175,0.000235395337659506
max_sbt_temp_change_abs_lag7_scaled,-0.136976417130238,0.000864572638810802,5658.36082522238,8.51338358183693,0.0141690993035235,0.00740260625614744
max_sbt_temp_change_abs_lag8_scaled,-0.0114139492761874,0.771514927085188,5670.69736379488,20.8499221543343,2.96822576207979e-05,1.55074123805215e-05
max_sbt_temp_change_abs_lag9_scaled,-0.133265364815111,0.00890280255191853,5661.91598086645,12.0685392259047,0.00239524534479048,0.00125138922344519
min_sbt_temp_change_abs_lag1_scaled,-0.0610862237793904,0.245920711164978,5668.6248189882,18.7773773476583,8.36650965652426e-05,4.37105954293814e-05
min_sbt_temp_change_abs_lag2_scaled,-0.0495587924511787,0.333687195289652,5669.04664588429,19.1992042437478,6.77556896352907e-05,3.5398770326852e-05
min_sbt_temp_change_abs_lag3_scaled,-0.050825588535292,0.316028326024945,5668.97031677807,19.1228751375293,7.03915332220861e-05,3.67758594281322e-05
min_sbt_temp_change_abs_lag4_scaled,-0.0502347450824211,0.320515926085757,5668.98862697589,19.1411853353484,6.97500327538131e-05,3.64407093047522e-05
min_sbt_temp_change_abs_lag5_scaled,-0.194359925292577,0.000394943904132938,5656.70692971848,6.85948807793739,0.0323952316286909,0.0169247980543307
min_sbt_temp_change_abs_lag6_scaled,-0.0156388474537638,0.758974435826754,5669.90262130562,20.0551796650761,4.4164474670568e-05,2.30736061264326e-05
min_sbt_temp_change_abs_lag7_scaled,-0.0845703993271018,0.0954334365780226,5667.2823645295,17.4349228889541,0.00016370223110053,8.55257722548906e-05
min_sbt_temp_change_abs_lag8_scaled,-0.123824628656931,0.0178660677570329,5664.15734565428,14.309904013734,0.000780987036489761,0.000408024490367675
min_sbt_temp_change_abs_lag9_scaled,0.0012341928109028,0.98046750262819,5669.99853843456,20.1510967940139,4.20963972474871e-05,2.19931448675798e-05
seas_sbt_temp_change_abs_lag1_scaled,-0.0573474035775877,0.203992210167708,5668.34122817976,18.4937865392167,9.64107093565046e-05,5.03695051431108e-05
seas_sbt_temp_change_abs_lag2_scaled,-0.130390578219338,0.00491464139744174,5661.93844494234,12.0910033017935,0.00236849238458296,0.00123741221429589
seas_sbt_temp_change_abs_lag3_scaled,-0.0205495757426256,0.645513493962303,5669.78441002103,19.9369683804844,4.68535307039481e-05,2.44784959214304e-05
seas_sbt_temp_change_abs_lag4_scaled,-0.0165008181086216,0.708148188093577,5669.85661736189,20.0091757213495,4.51921182796655e-05,2.36104956524947e-05
seas_sbt_temp_change_abs_lag5_scaled,-0.110554478274146,0.016575533886706,5664.0182419169,14.1708002763526,0.000837239708681426,0.000437413541440772
seas_sbt_temp_change_abs_lag6_scaled,-0.038286825701026,0.394733132581922,5669.25858444537,19.4111428048282,6.09430094129357e-05,3.18395046209087e-05
seas_sbt_temp_change_abs_lag7_scaled,0.0457823537874897,0.295274510547465,5668.89636013429,19.0489184937442,7.30432192947364e-05,3.81612253917865e-05
seas_sbt_temp_change_abs_lag8_scaled,-0.0809502588563409,0.0688945830532828,5666.57968137457,16.7322397340304,0.000232616387448336,0.000121529780271867
seas_sbt_temp_change_abs_lag9_scaled,-0.0410762375481078,0.373186027135147,5670.24904793105,20.4016062905021,3.71404775042013e-05,1.94039384748002e-05
