variable,coef,p_value,AICc,deltaAICc,rel_likelihood,akaike_weight
max_sst_temp_scaled,-1.16574983696146,0.000104638899130556,5602.90087154312,7.33247620045131,0.025572490369589,0.0193720807512694
min_sst_temp_scaled,0.176047263941286,0.401971031549555,5614.1971056297,18.628710287031,9.01211985034601e-05,6.82700476010881e-05
seas_sst_temp_scaled,-0.534826336718629,4.12058741645217e-06,5595.56839534267,0,1,0.757535948642172
max_sst_temp_lag1_scaled,-0.841718630635433,0.00188404300354202,5606.41720651177,10.8488111690986,0.00440768537957108,0.00333898012532961
max_sst_temp_lag2_scaled,-0.561369555620873,0.02008076127332,5609.50558640747,13.9371910648006,0.000940973545077749,0.00071282128711766
max_sst_temp_lag3_scaled,-0.436645716419541,0.0289324859022592,5610.00177412688,14.4333787842079,0.000734229144498833,0.000556204971498654
max_sst_temp_lag4_scaled,-0.632011751572732,0.00179663160599906,5605.43855505429,9.87015971162236,0.00718988676873084,0.00544659769398031
max_sst_temp_lag5_scaled,-0.561399520697486,0.0025880850506235,5605.90421806007,10.3358227173976,0.00569645425231737,0.00431526887592597
max_sst_temp_lag6_scaled,-0.485780443739913,0.00626841249245934,5607.26965533389,11.7012599912187,0.00287808540565137,0.0021802531580433
max_sst_temp_lag7_scaled,-0.320941493821738,0.0571136858070249,5611.08606842662,15.5176730839512,0.000426953033761668,0.000323432271456298
max_sst_temp_lag8_scaled,-0.513311641163228,0.00270924767671576,5605.7581944593,10.1897991166261,0.00612792210277346,0.00464212128332983
max_sst_temp_lag9_scaled,-0.433464373221568,0.00810946539520792,5607.66547499442,12.0970796517449,0.00236130741042108,0.00178877524918912
max_sst_temp_lag10_scaled,-0.528989733553154,0.00147946515623398,5604.68088158545,9.11248624277323,0.010501437552935,0.00795521645876917
min_sst_temp_lag1_scaled,-0.172834419572672,0.321784384242,5613.64688877237,18.0784934296935,0.000118660187754328,8.98893578965333e-05
min_sst_temp_lag2_scaled,-0.094415092387626,0.601984153521522,5614.27130632125,18.7029109785826,8.68389339294275e-05,6.57836141933038e-05
min_sst_temp_lag3_scaled,-0.155809293055327,0.379681234488416,5614.01179467085,18.4433993281755,9.8870498105101e-05,7.48979565747718e-05
min_sst_temp_lag4_scaled,-0.0596103964600144,0.74799696292026,5614.42953559994,18.8611402572697,8.02334435105068e-05,6.07797177425599e-05
min_sst_temp_lag5_scaled,-0.0167846733182896,0.929819208366218,5614.59252695554,19.0241316128686,7.39541089516466e-05,5.60228960806721e-05
min_sst_temp_lag6_scaled,-0.180444244073567,0.31289195819051,5613.60100711194,18.0326117692721,0.000121413815462973,9.19753298750086e-05
min_sst_temp_lag7_scaled,-0.396253479334731,0.0401727707337797,5610.24986437237,14.6814690296987,0.000648573958740948,0.000491318089099433
min_sst_temp_lag8_scaled,-0.123498495553409,0.486842690473134,5614.0813720801,18.5129767374237,9.54900629556507e-05,7.23371554270096e-05
min_sst_temp_lag9_scaled,-0.508349562319853,0.0067250538124741,5607.15640248957,11.5880071469028,0.00304576379508082,0.00230727556584653
min_sst_temp_lag10_scaled,-0.242419487566936,0.167022511779466,5612.69790029087,17.1295049481932,0.000190710788444681,0.000144470278040738
